Index,Date,Open,High,Low,Close,Adj Close,Volume
HSI,2021-02-01,28457.84961,28982.76953,28382.25977,28892.85938,28892.85938,2464276400
HSI,2021-03-24,28437.49023,28457.86914,27827.05078,27918.14063,27918.14063,2689142400
HSI,2021-03-25,27628.08008,28032.00977,27505.08008,27899.60938,27899.60938,2595007600
HSI,2021-03-26,28043.65039,28415.15039,28014.28906,28336.42969,28336.42969,2415384100
HSI,2021-03-29,28317.32031,28484.66016,28132.35938,28338.30078,28338.30078,2847744100
HSI,2021-05-04,28438.15039,28577.51953,28321.33984,28557.14063,28557.14063,1921124800
HSI,2021-05-05,28427.66992,28677.35938,28325.96094,28417.98047,28417.98047,1720837700
HSI,2021-05-11,28286.56055,28286.56055,27910.71094,28013.81055,28013.81055,2383355200
HSI,2021-05-12,28073.91992,28231.03906,27897.4707,28231.03906,28231.03906,2132315300
HSI,2021-05-13,27920.00977,28060.92969,27718.66992,27718.66992,27718.66992,2167381500
HSI,2021-05-14,27872.68945,28064.00977,27715.88086,28027.57031,28027.57031,1880805200
HSI,2021-05-17,28130.50977,28268.39063,28074.14063,28194.08984,28194.08984,1857027900
HSI,2021-05-18,28438.0293,28617.33984,28438.0293,28593.81055,28593.81055,2065990000
HSI,2021-05-20,28413.49023,28508.24023,28293.23047,28450.28906,28450.28906,2465835400
HSI,2021-05-24,28417.99023,28444.35938,28195.51953,28412.25977,28412.25977,1719640600
